Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35.0,23.0,3916.0,32850.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34.0,23.0,3916.0,38650.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2,Compact,Convertible,31.0,20.0,3916.0,48750.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2,Compact,Coupe,35.0,23.0,3916.0,34850.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2,Compact,Convertible,34.0,22.0,3916.0,40650.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31.0,20.0,3916.0,44150.0
BMW,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,34.0,22.0,3916.0,32850.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2,Compact,Coupe,30.0,20.0,3916.0,46150.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2,Compact,Convertible,30.0,20.0,3916.0,50750.0
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2,Compact,Coupe,31.0,21.0,3916.0,46450.0
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2,Compact,Convertible,32.0,21.0,3916.0,49050.0
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2,Compact,Convertible,32.0,21.0,3916.0,51050.0
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2,Compact,Coupe,32.0,21.0,3916.0,44450.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34.0,23.0,3916.0,38950.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35.0,24.0,3916.0,33150.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2,Compact,Coupe,33.0,24.0,3916.0,35150.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2,Compact,Convertible,33.0,23.0,3916.0,40950.0
Audi,1990,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20.0,16.0,3105.0,2000.0
Audi,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4,Midsize,Wagon,22.0,15.0,3105.0,2000.0
Audi,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4,Midsize,Sedan,23.0,15.0,3105.0,2000.0
Audi,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4,Midsize,Sedan,22.0,16.0,3105.0,2000.0
Audi,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4,Midsize,Wagon,22.0,16.0,3105.0,2000.0
Audi,1991,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20.0,16.0,3105.0,2000.0
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,25170.0
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,23950.0
Chrysler,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29.0,18.0,1013.0,29370.0
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,21995.0
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,26625.0
Chrysler,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29.0,18.0,1013.0,30825.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,21995.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,27795.0
Chrysler,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29.0,18.0,1013.0,31785.0
Chrysler,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29.0,18.0,1013.0,29905.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,22490.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,27570.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,25690.0
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,24490.0
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28.0,18.0,1013.0,29905.0
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28.0,18.0,1013.0,31785.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,26685.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,22490.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,25690.0
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28.0,18.0,1013.0,30900.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,27795.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,21995.0
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36.0,23.0,1013.0,24490.0
Nissan,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,36.0,26.0,2009.0,2000.0
Nissan,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,36.0,26.0,2009.0,2000.0
Nissan,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,29.0,21.0,2009.0,2000.0
Nissan,1997,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,29.0,21.0,2009.0,2000.0
Nissan,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,35.0,25.0,2009.0,2000.0
Nissan,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,35.0,25.0,2009.0,2000.0
Nissan,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,35.0,25.0,2009.0,2000.0
Nissan,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,35.0,25.0,2009.0,2000.0
Nissan,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2,Compact,Coupe,28.0,20.0,2009.0,2073.0
Nissan,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,2009.0,3713.0
Nissan,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,2009.0,3520.0
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,2009.0,3910.0
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,2009.0,4182.0
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,26.0,19.0,2009.0,4107.0
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,25.0,20.0,2009.0,4299.0
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,25.0,20.0,2009.0,4693.0
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2,Compact,Coupe,25.0,20.0,2009.0,4107.0
Volvo,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Wagon,26.0,19.0,870.0,2000.0
Volvo,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,23.0,18.0,870.0,2000.0
Volvo,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Sedan,26.0,19.0,870.0,2000.0
Volvo,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Sedan,26.0,19.0,870.0,2000.0
Volvo,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Wagon,26.0,19.0,870.0,2000.0
Volvo,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Sedan,26.0,19.0,870.0,2000.0
Volvo,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Sedan,26.0,19.0,870.0,2000.0
Volvo,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Midsize,Wagon,25.0,18.0,870.0,2000.0
Mazda,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,16020.0
Mazda,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,14530.0
Mazda,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,16860.0
Mazda,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,15370.0
Mazda,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,17050.0
Mazda,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,15560.0
Mazda,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,16210.0
Mazda,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,14720.0
Mazda,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,17050.0
Mazda,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34.0,28.0,586.0,15560.0
Mazda,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,16210.0
Mazda,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35.0,29.0,586.0,14720.0
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30.0,20.0,3916.0,47250.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33.0,22.0,3916.0,41850.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33.0,22.0,3916.0,41850.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,34.0,22.0,3916.0,43000.0
BMW,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30.0,20.0,3916.0,49200.0
BMW,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30.0,20.0,3916.0,49650.0
BMW,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33.0,23.0,3916.0,43950.0
BMW,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33.0,22.0,3916.0,41950.0
BMW,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33.0,25.0,3916.0,50150.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35.0,23.0,3916.0,37500.0
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32.0,21.0,3916.0,43750.0
BMW,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42.0,31.0,3916.0,39000.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33.0,22.0,3916.0,39500.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33.0,22.0,3916.0,39500.0
BMW,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35.0,23.0,3916.0,34950.0
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,30.0,20.0,3916.0,45750.0
BMW,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,42.0,31.0,3916.0,43450.0
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35.0,23.0,3916.0,37500.0
BMW,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,42.0,31.0,3916.0,41000.0
BMW,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36.0,24.0,3916.0,32950.0
BMW,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40.0,30.0,3916.0,41850.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33.0,22.0,3916.0,47800.0
BMW,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42.0,31.0,3916.0,39850.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34.0,22.0,3916.0,38350.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34.0,22.0,3916.0,40350.0
BMW,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4,Midsize,Sedan,34.0,22.0,3916.0,38350.0
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,34.0,22.0,3916.0,42650.0
BMW,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36.0,24.0,3916.0,33150.0
BMW,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35.0,23.0,3916.0,35150.0
BMW,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40.0,30.0,3916.0,44150.0
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33.0,22.0,3916.0,45800.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34.0,23.0,3916.0,38750.0
BMW,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34.0,23.0,3916.0,35450.0
BMW,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35.0,23.0,3916.0,33450.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33.0,23.0,3916.0,40750.0
BMW,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40.0,30.0,3916.0,42250.0
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33.0,23.0,3916.0,42950.0
BMW,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42.0,31.0,3916.0,40250.0
BMW,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,31.0,21.0,3916.0,49900.0
BMW,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32.0,21.0,3916.0,47900.0
BMW,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40.0,30.0,3916.0,44450.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,19.0,15.0,617.0,2232.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20.0,15.0,617.0,2000.0
Mercedes-Benz,1991,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22.0,17.0,617.0,2000.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,20.0,15.0,617.0,2105.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18.0,15.0,617.0,2199.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22.0,16.0,617.0,2000.0
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,19.0,15.0,617.0,2124.0
Mercedes-Benz,1991,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,21.0,14.0,617.0,3552.0
Mercedes-Benz,1991,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,22.0,15.0,617.0,2179.0
Mercedes-Benz,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30.0,23.0,617.0,2000.0
Mercedes-Benz,1992,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,29.0,23.0,617.0,2000.0
Mercedes-Benz,1992,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,17.0,14.0,617.0,2377.0
Mercedes-Benz,1992,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,21.0,15.0,617.0,3814.0
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19.0,15.0,617.0,2207.0
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20.0,15.0,617.0,2000.0
Mercedes-Benz,1992,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,21.0,15.0,617.0,2248.0
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22.0,16.0,617.0,2065.0
Mercedes-Benz,1992,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,22.0,18.0,617.0,2547.0
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18.0,15.0,617.0,2282.0
Mercedes-Benz,1992,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,23.0,18.0,617.0,2000.0
Mercedes-Benz,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Wagon,19.0,15.0,617.0,2544.0
Mercedes-Benz,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,22.0,17.0,617.0,2397.0
Mercedes-Benz,1993,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30.0,23.0,617.0,2000.0
Mercedes-Benz,1993,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2,Compact,Convertible,21.0,14.0,617.0,4174.0
Mercedes-Benz,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22.0,17.0,617.0,2187.0
Mercedes-Benz,1993,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,22.0,18.0,617.0,2729.0
Mercedes-Benz,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19.0,15.0,617.0,2433.0
Mercedes-Benz,1993,regular unleaded,194.0,6.0,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,23.0,17.0,617.0,2247.0
Mercedes-Benz,1993,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4,Large,Sedan,18.0,14.0,617.0,2540.0
Mitsubishi,1997,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23.0,17.0,436.0,3941.0
Mitsubishi,1997,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22.0,17.0,436.0,3295.0
Mitsubishi,1997,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22.0,16.0,436.0,6008.0
